"","ID","Ranking","Type","Status","Reason.for.Closure","Opened","Ready.for.Dev.Date","Closed","Due.Date"
"1",83764,996,"Feature","Closed","Done",2014-04-07,2014-04-08,2014-05-07,"2014-05-07"
"2",83765,985,"Bug","Closed","Fixed",2013-11-09,2014-04-01,2014-05-07,NA
"3",83766,979,"Feature","Closed","Done",2014-04-03,2014-04-04,2014-05-28,NA
"4",83767,978,"Feature","Closed","Done",2014-04-03,2014-04-04,2014-05-28,NA
"5",83768,977,"Feature","Closed","Done",2014-04-03,2014-04-04,2014-05-07,NA
"6",83769,976,"Bug","Closed","Fixed",2014-04-03,2014-04-04,2014-05-07,NA
"7",83770,975,"Bug","Closed","Fixed",2014-04-03,2014-04-04,2014-05-28,NA
"8",83771,973,"Bug","Closed","Fixed",2014-03-12,2014-03-13,2014-05-07,NA
"9",83772,972,"Feature","Closed","Done",2014-03-25,2014-04-10,2014-05-28,NA
"10",83773,971,"Feature","Closed","Done",2010-02-22,2014-04-08,2014-05-28,NA
"11",83774,970,"Bug","Closed","Fixed",2014-01-29,2014-03-14,2014-04-23,NA
"12",84125,973,"Feature","Closed","Done",2014-04-09,2014-04-11,2014-05-28,NA
"13",84129,960,"Bug","Closed","Fixed",2014-02-27,2014-03-17,2014-05-07,NA
"14",84131,941,"Feature","Closed","Done",2014-01-30,2014-04-03,2014-05-28,NA
"15",84135,921,"Bug","Closed","Fixed",2014-03-06,2014-03-06,2014-04-23,NA
"16",84136,903,"Feature","Closed","Done",2014-03-26,2014-04-22,2014-05-28,NA
"17",84137,895,"Bug","Closed","Fixed",2014-02-25,2014-03-21,2014-04-23,NA
"18",84138,840,"Feature","Closed","Done",2013-12-03,2014-02-03,2014-04-23,NA
"19",84139,998,"Feature","Closed","Done",2014-03-07,2014-03-10,2014-04-30,"2014-04-30"
"20",84140,998,"Feature","Closed","Done",2014-03-07,2014-03-10,2014-04-30,"2014-04-30"
"21",84142,992,"Bug","Closed","Fixed",2014-03-04,2014-03-24,2014-05-07,NA
"22",84144,965,"Bug","Closed","Fixed",2014-03-18,2014-03-24,2014-04-23,NA
"23",84145,923,"Feature","Closed","Done",2014-02-03,2014-02-04,2014-04-23,NA
"24",84146,893,"Bug","Closed","Fixed",2014-03-18,2014-03-31,2014-04-23,NA
"25",84147,997,"Feature","Closed","Done",2014-03-21,2014-03-24,2014-04-23,NA
"26",84148,850,"Bug","Closed","Fixed",2014-02-10,2014-03-24,2014-04-23,NA
"27",84149,903,"Bug","Closed","Fixed",2014-03-04,NA,2014-04-23,NA
"28",84201,981,"Bug","Closed","Fixed",2014-04-14,2014-05-01,2014-05-28,NA
"29",84392,999,"Feature","Closed","Done",2014-04-15,2014-04-15,2014-05-07,"2014-04-23"
"30",84449,996,"Bug","Closed","Fixed",2014-03-10,2014-03-17,2014-03-19,NA
"31",84450,NA,"Bug","Closed","Fixed",2013-09-12,2013-09-12,2014-03-12,NA
"32",84451,NA,"Bug","Closed","Fixed",2014-03-03,2014-03-03,2014-03-12,"2014-03-12"
"33",84452,NA,"Bug","Closed","Fixed",2014-03-04,2014-03-04,2014-03-12,"2014-03-12"
"34",84454,991,"Feature","Closed","Done",2014-02-19,2014-02-19,2014-03-26,NA
"35",84455,991,"Bug","Closed","Fixed",2014-03-11,2014-03-24,2014-04-09,NA
"36",84456,990,"Feature","Closed","Done",2014-02-19,2014-02-19,2014-03-26,NA
"37",84457,988,"Bug","Closed","Fixed",2014-02-27,2014-02-27,2014-03-26,NA
"38",84458,965,"Bug","Closed","Fixed",2014-03-03,2014-03-03,2014-04-02,NA
"39",84459,980,"Feature","Closed","Done",2013-10-28,2014-04-03,2014-04-09,NA
"40",84460,965,"Bug","Closed","Fixed",2013-12-12,2013-12-12,2014-04-02,NA
"41",84461,956,"Bug","Closed","Fixed",2014-02-25,2014-02-27,2014-04-02,NA
"42",84462,923,"Feature","Closed","Done",2013-12-02,2013-12-05,2014-04-02,NA
"43",84463,914,"Bug","Closed","Fixed",2014-03-06,2014-03-06,2014-04-02,NA
"44",84464,882,"Bug","Closed","Fixed",2014-02-17,2014-02-20,2014-04-02,NA
"45",85045,400,"Feature","Closed","Done",2014-04-03,NA,2014-06-11,"2014-06-11"
"46",85053,998,"Feature","Closed","Done",2014-04-10,NA,2014-05-28,"2014-05-28"
"47",85054,998,"Feature","Closed","Done",2014-04-10,2014-04-29,2014-05-28,"2014-05-28"
"48",85055,940,"Feature","Closed","Done",2014-04-08,2014-04-22,2014-05-28,NA
"49",85075,996,"Bug","Closed","Fixed",2014-04-21,2014-04-21,2014-04-23,"2014-04-23"
"50",85131,820,"Bug","Closed","Fixed",2011-10-24,2014-02-13,2014-05-07,"2014-05-07"
"51",85160,980,"Feature","Closed","Done",2014-04-22,2014-05-01,2014-06-04,NA
"52",85351,273,"Bug","Closed","Fixed",2014-04-24,2014-05-01,2014-05-07,NA
"53",85461,1000,"Bug","Closed","Fixed",2014-04-24,2014-04-24,2014-04-30,NA
"54",85709,999,"Bug","Closed","Fixed",2014-04-30,2014-04-30,2014-04-30,NA
"55",85720,999,"Bug","Closed","Fixed",2014-04-30,2014-04-30,2014-04-30,NA
"56",85775,990,"Bug","Closed","Fixed",2014-05-01,2014-05-01,2014-05-07,NA
