"","ID","Ranking","Type","Status","Reason.for.Closure","Opened","Ready.for.Dev.Date","Closed","Due.Date"
"1",67164,NA,"Bug","Closed","Fixed",2012-12-07,NA,"2013-08-26",NA
"2",67251,NA,"Feature","Closed","Done",2012-12-14,NA,"2013-01-09",NA
"3",67619,NA,"Feature","Closed","Done",2013-01-18,NA,"2013-01-23",NA
"4",67404,NA,"Feature","Closed","Done",2013-01-07,NA,"2013-01-16",NA
"5",67119,NA,"Bug","Closed","Fixed",2012-12-04,NA,"2013-01-23",NA
"6",67120,NA,"Bug","Closed","Fixed",2012-12-04,NA,"2013-01-23",NA
"7",66857,NA,"Feature","Closed","Done",2012-11-15,NA,"2013-01-23",NA
"8",66789,NA,"Feature","Closed","Done",2012-11-13,NA,"2013-01-23",NA
"9",66531,NA,"Bug","Closed","Fixed",2012-10-29,NA,"2013-03-06",NA
"10",66532,NA,"Bug","Closed","Fixed",2012-10-29,NA,"2013-01-23",NA
"11",66156,NA,"Bug","Closed","Fixed",2012-10-08,NA,"2013-01-23",NA
"12",65993,NA,"Bug","Closed","Fixed",2012-09-25,NA,"2013-01-23",NA
"13",59332,NA,"Feature","Closed","Done",2011-11-15,NA,"2013-01-23",NA
"14",68053,NA,"Bug","Closed","Fixed",2013-01-31,NA,"2013-02-01",NA
"15",67886,NA,"Feature","Closed","Done",2013-01-28,NA,"2013-01-31",NA
"16",67718,NA,"Bug","Closed","Fixed",2013-01-22,NA,"2013-01-31",NA
"17",67616,NA,"Feature","Closed","Done",2013-01-18,NA,"2013-01-31",NA
"18",67097,NA,"Bug","Closed","Fixed",2012-12-02,NA,"2013-01-31",NA
"19",66869,NA,"Bug","Closed","Fixed",2012-11-16,NA,"2013-01-31",NA
"20",66780,NA,"Bug","Closed","Fixed",2012-11-12,NA,"2013-01-31",NA
"21",66719,NA,"Bug","Closed","Fixed",2012-11-07,NA,"2013-01-30",NA
"22",66488,NA,"Bug","Closed","Fixed",2012-10-25,NA,"2013-01-31",NA
"23",66297,NA,"Bug","Closed","Fixed",2012-10-15,NA,"2013-01-30",NA
"24",68111,NA,"Feature","Closed","Done",2013-02-04,NA,"2013-02-08",NA
"25",67617,NA,"Feature","Closed","Done",2013-01-18,NA,"2013-02-14",NA
"26",68378,NA,"Bug","Closed","Fixed",2013-02-20,NA,"2013-02-25",NA
"27",68244,NA,"Bug","Closed","Fixed",2013-02-11,NA,"2013-02-19",NA
"28",68237,NA,"Bug","Closed","Fixed",2013-02-11,NA,"2013-02-18",NA
"29",68236,NA,"Bug","Closed","Fixed",2013-02-10,NA,"2013-02-20",NA
"30",68235,NA,"Bug","Closed","Fixed",2013-02-10,NA,"2013-02-18",NA
"31",68234,NA,"Bug","Closed","Fixed",2013-02-10,NA,"2013-02-19",NA
"32",68232,NA,"Bug","Closed","Fixed",2013-02-10,NA,"2013-02-19",NA
"33",68229,NA,"Bug","Closed","Fixed",2013-02-09,NA,"2013-02-18",NA
"34",68228,NA,"Bug","Closed","Fixed",2013-02-09,NA,"2013-02-20",NA
"35",68226,NA,"Bug","Closed","Fixed",2013-02-09,NA,"2013-02-19",NA
"36",68197,NA,"Bug","Closed","Fixed",2013-02-07,NA,"2013-02-19",NA
